@chaoaretasty,Please give me the space back that the fleets took up rather than replace what you show there
@lordfpx,"Finally, That was taking too much space on my screen."
@SkatesSongs,Thank you for listening. I use twitter because I like words. Not for pictures. The changes to the trending topics have been brilliant and are very much appreciated
@GatitaKicksAss,"Thank you for the update. Learning is a process. How about that ""Edit"" button?"
@Kathleenhamil15,"Fleets, we hardly knew ye..."
@Icebox551,maybe stop removing shit and actually implement an edit tweet
@NaSa2013NaSa,Thank you for undisturbing enduser Best decision you have ever made
@mikequinn_,Open up your API to third party clients like @tweetbot and you’ll get more adaption.
@iamonthenet1,What the hell is Fleets
@TheyLove_Chuck,Why y’all need 4 tweets to explain the shit. Just get rid of it
@redmeister81,Blue ticks for all. Sorted
@SweetyGogoi6,Why my this tweet is unavailable it's not any hate or other words i have used requesting you to please ger my tweet available and the reason why unavailable i have not used any bad word or tweeted any hate speech
@lalita_xsiempr,"Hello, please reactivate my account. is @yacque_espos I was suspended for copyright by mistake"
@TampaWoman1965,Can you provide a system for vaccine and political disinformation?
@kgradyback2life,Edit. Option. One that tracks original tweet so their are always receipts. Please and thank you!
@_garud_a,Give us back Moments for smartphones users.
@RaeCorson,Farewell fleeting feature
@3badista,Thank god
@hybridmoments97,Might be a good idea to look into better ways to remove the racists and trolls from your platform. That would help make it a safer place for shy posters.
@Incalculable888,Twitter for close friends seems like it will be promising
@shawnwenzel,"A feature I would love to see is a ""tweet sunset"" where tweets older than a year or two are only visible to you or people you follow unless you retweet them again. Would prevent trolls from digging up old tweets like recently happened to @itskerrii"
@Des_Caters,I hope you sacked the guy/team who came up with the idea
@Erick_O_Mokua,"That is a sober,great http://move.How about giving us a character limit of say 250 per tweet instead of somebody doing so many tweets explaining a topical issue?It will be a great move I believe."
@CatholicJosh122,An edit button. Now. Signed - LITERALLY. EVERYONE
@MibIH,So maybe now you'll give us the Edit button every Twitter user has been crying out for since day one?
@AdamantxYves,Could you let us search through our media galleries when we're trying to post pics and vids? They're never in order when I try.
@SnakeCharmers,You can improve Twitter with an EDIT button. That's number 1.
@kannemaznn,"hello, @TwitterSupport i'm writing to say that my account has been suspended for over a month, it was suspended on 06/02, i've resorted in all possible ways, but i don't get an answer at all, can you do something ? case #0211230447"
@DylWynWil,"#Cymraeg as a display language please. After all, if Catalan is there... #Diolch"
@Laer_Cito,"Why taking out fleets? Everyone used them their own way, it was a nice feature. Just let them have music and they would be perfect, really. But anyway, you manage things around here, so, we'll just miss them. Go for an interesting alternative, yeah? Pls? #notwithoutfleets"
@vsnthdev,"If you could support basic markdown like headings, and other text emphasis... It would be awesome Threads on Twitter can be much more expressive."
@elemsee,"Going by the responses, perhaps you should beef up customer service and responding to suspension issues."
@CerebralPalsite,"How about putting tweets in chronological order and stopping promoted tweets taking up more of my timeline then people I actually want to follow? Oh, I forgot. It’s whatever makes the most money first before what actual users want. Moving on."
Robs Podcast Mug @robspodcastmug@tenforward.social,Now would be a good time for that edit button
@Lindas_Here,"Here’s a novel idea…..an EDIT button! Even one that only gives you a minute or two to edit your tweet! I know it’s possible, because I had a forum with that feature before. Get with the program twitter!"
@eroipu_yakai,"Hi @TwitterSupport , my account @kusokyomu and @Web26735457 got suspended and it never violated the Twitter rules. I appealed the suspension via the Help Center but obtained no response. It's been a month. Could you please consider and unsuspend it? Case number is #0217540559 Thx."
@HwfM_,Explicitly copying a feature from multiple other platforms isn't taking a risk. Why pat yourself on the back for plagiarism?
@michellegraz,Here’s an idea - give us an edit button
@ohayoo2018,"Hey I've been using Twitter since 2008. It's ok.Sometimes things don't go well. You know what, we need edit function. I prefer simpler Twitter as it was a decade ago. It'd be much better for us users to fully control our TL. Don't mess it around. Let's make a better Twitterland!"
@_Bkhshi_Amin,Zart!
@MustaphaMugisa,What if before such investment you ran a short survey about the featured customers would desire the most? And then refine based on the voice of the users???
@JR_Bee101,I would very much like to stop seeing peoples likes in my feed.
@bumblebeenush,"Now if you put in more effort into banning racist tweet accounts, that would be much appreciated"
@DogGeneticsLLC,Letting people format text on here has always led to screen reader inaccessibility
@ErikaWang2ndAct,#LoveTwitter
,
@ArizonaWildcat,How about an EDIT function? Duh!
@JasonBall34,The evil is defeated!
@percoset,why not just add more features to fleets
@c_r_5,"Tweets, but editable for 90secs after posting to correct a typo And not hidden behind a paywall"
@aldente_nogi,Hi! @TwitterSupport My account( @aldente_nogi )'s hashtag doesn't catch my http://search.Case#0220014088 Thanks!
@lisamcmullin,Can we please just have an edit button?
,@third_ojo make it happen
@RichLevy5,why not make a yes or no button that leaves or Takes off a post from newsfeed permanently!? Tired of always re- doing taking posts off that are not my taste or just offensive to me. How About fixing that?
@comrade_walther,recommendation to allow all mobile platforms including android to support voice recording
@PurpleT100,"Please put the timeline back to how it was before fleets, and don't fill it with Spaces instead. I've chosen to not use apps that are like your Spaces, so I don't want them on Twitter. Put then where those who use them have access, but out of the way of those who don't."
@PurpleT100,"The blog me tions ""full screen vertical ads"". Please don't. We accept you need ads, but the more they annoy us, like in full screen, the less likely many of us will use the app. Subtlety, rather than IN YA FACE, works far better."
@jooniesmoni,Please let us have a way to search old stuff from our bookmarked tweets and liked tweets as well...
